Multi-View Decision Processes: The Helper-AI Problem,"Christos Dimitrakakis, David C. Parkes, Goran Radanovic, Paul Tylkin",https://proceedings.neurips.cc/paper/2017/hash/227f6afd3b7f89b96c4bb91f95d50f6d-Abstract.html
Maximum Margin Interval Trees,"Alexandre Drouin, Toby Hocking, Francois Laviolette",https://proceedings.neurips.cc/paper/2017/hash/2288f691b58edecadcc9a8691762b4fd-Abstract.html
Online Learning with a Hint,"Ofer Dekel, arthur flajolet, Nika Haghtalab, Patrick Jaillet",https://proceedings.neurips.cc/paper/2017/hash/22b1f2e0983160db6f7bb9f62f4dbb39-Abstract.html
DPSCREEN: Dynamic Personalized Screening,"Kartik Ahuja, William Zame, Mihaela van der Schaar",https://proceedings.neurips.cc/paper/2017/hash/22fb0cee7e1f3bde58293de743871417-Abstract.html
Online Learning of Optimal Bidding Strategy in Repeated Multi-Commodity Auctions,"M. Sevi Baltaoglu, Lang Tong, Qing Zhao",https://proceedings.neurips.cc/paper/2017/hash/23af4b45f1e166141a790d1a3126e77a-Abstract.html
A-NICE-MC: Adversarial Training for MCMC,"Jiaming Song, Shengjia Zhao, Stefano Ermon",https://proceedings.neurips.cc/paper/2017/hash/2417dc8af8570f274e6775d4d60496da-Abstract.html
Question Asking as Program Generation,"Anselm Rothe, Brenden M. Lake, Todd Gureckis",https://proceedings.neurips.cc/paper/2017/hash/24681928425f5a9133504de568f5f6df-Abstract.html
Gradient Methods for Submodular Maximization,"Hamed Hassani, Mahdi Soltanolkotabi, Amin Karbasi",https://proceedings.neurips.cc/paper/2017/hash/24b43fb034a10d78bec71274033b4096-Abstract.html
Recycling Privileged Learning and Distribution Matching for Fairness,"Novi Quadrianto, Viktoriia Sharmanska",https://proceedings.neurips.cc/paper/2017/hash/250cf8b51c773f3f8dc8b4be867a9a02-Abstract.html
Collecting Telemetry Data Privately,"Bolin Ding, Janardhan Kulkarni, Sergey Yekhanin",https://proceedings.neurips.cc/paper/2017/hash/253614bbac999b38b5b60cae531c4969-Abstract.html
Parallel Streaming Wasserstein Barycenters,"Matthew Staib, Sebastian Claici, Justin M. Solomon, Stefanie Jegelka",https://proceedings.neurips.cc/paper/2017/hash/253f7b5d921338af34da817c00f42753-Abstract.html
"Adaptive Accelerated Gradient Converging Method under H\""{o}lderian Error Bound Condition","Mingrui Liu, Tianbao Yang",https://proceedings.neurips.cc/paper/2017/hash/2612aa892d962d6f8056b195ca6e550d-Abstract.html
What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,"Alex Kendall, Yarin Gal",https://proceedings.neurips.cc/paper/2017/hash/2650d6089a6d640c5e85b2b88265dc2b-Abstract.html
Reconstruct & Crush Network,"Erinc Merdivan, Mohammad Reza Loghmani, Matthieu Geist",https://proceedings.neurips.cc/paper/2017/hash/269d837afada308dd4aeab28ca2d57e4-Abstract.html
Permutation-based Causal Inference Algorithms with Interventions,"Yuhao Wang, Liam Solus, Karren Yang, Caroline Uhler",https://proceedings.neurips.cc/paper/2017/hash/275d7fb2fd45098ad5c3ece2ed4a2824-Abstract.html
Deep Dynamic Poisson Factorization Model,"Chengyue Gong, win-bin huang",https://proceedings.neurips.cc/paper/2017/hash/27ed0fb950b856b06e1273989422e7d3-Abstract.html
Scalable Generalized Linear Bandits: Online Computation and Hashing,"Kwang-Sung Jun, Aniruddha Bhargava, Robert Nowak, Rebecca Willett",https://proceedings.neurips.cc/paper/2017/hash/28dd2c7955ce926456240b2ff0100bde-Abstract.html
Experimental Design for Learning Causal Graphs with Latent Variables,"Murat Kocaoglu, Karthikeyan Shanmugam, Elias Bareinboim",https://proceedings.neurips.cc/paper/2017/hash/291d43c696d8c3704cdbe0a72ade5f6c-Abstract.html
Lower bounds on the robustness to adversarial perturbations,"Jonathan Peck, Joris Roels, Bart Goossens, Yvan Saeys",https://proceedings.neurips.cc/paper/2017/hash/298f95e1bf9136124592c8d4825a06fc-Abstract.html
Reliable Decision Support using Counterfactual Models,"Peter Schulam, Suchi Saria",https://proceedings.neurips.cc/paper/2017/hash/299a23a2291e2126b91d54f3601ec162-Abstract.html
Group Additive Structure Identification for Kernel Nonparametric Regression,"Chao Pan, Michael Zhu",https://proceedings.neurips.cc/paper/2017/hash/2aedcba61ca55ceb62d785c6b7f10a83-Abstract.html
A multi-agent reinforcement learning model of common-pool resource appropriation,"Julien Pérolat, Joel Z. Leibo, Vinicius Zambaldi, Charles Beattie, Karl Tuyls, Thore Graepel",https://proceedings.neurips.cc/paper/2017/hash/2b0f658cbffd284984fb11d90254081f-Abstract.html
Decoding with Value Networks for Neural Machine Translation,"Di He, Hanqing Lu, Yingce Xia, Tao Qin, Liwei Wang, Tie-Yan Liu",https://proceedings.neurips.cc/paper/2017/hash/2b24d495052a8ce66358eb576b8912c8-Abstract.html
Population Matching Discrepancy and Applications in Deep Learning,"Jianfei Chen, Chongxuan LI, Yizhong Ru, Jun Zhu",https://proceedings.neurips.cc/paper/2017/hash/2b45e8d6abf59038a975faeeb6dc0782-Abstract.html
Predictive State Recurrent Neural Networks,"Carlton Downey, Ahmed Hefny, Byron Boots, Geoffrey J. Gordon, Boyue Li",https://proceedings.neurips.cc/paper/2017/hash/2bb0502c80b7432eee4c5847a5fd077b-Abstract.html
Robust Hypothesis Test for Nonlinear Effect with Gaussian Processes,"Jeremiah Liu, Brent Coull",https://proceedings.neurips.cc/paper/2017/hash/2bb232c0b13c774965ef8558f0fbd615-Abstract.html
"Sharpness, Restart and Acceleration","Vincent Roulet, Alexandre d'Aspremont",https://proceedings.neurips.cc/paper/2017/hash/2ca65f58e35d9ad45bf7f3ae5cfd08f1-Abstract.html
Dynamic Routing Between Capsules,"Sara Sabour, Nicholas Frosst, Geoffrey E. Hinton",https://proceedings.neurips.cc/paper/2017/hash/2cad8fa47bbef282badbb8de5374b894-Abstract.html
InfoGAIL: Interpretable Imitation Learning from Visual Demonstrations,"Yunzhu Li, Jiaming Song, Stefano Ermon",https://proceedings.neurips.cc/paper/2017/hash/2cd4e8a2ce081c3d7c32c3cde4312ef7-Abstract.html
A Regularized Framework for Sparse and Structured Neural Attention,"Vlad Niculae, Mathieu Blondel",https://proceedings.neurips.cc/paper/2017/hash/2d1b2a5ff364606ff041650887723470-Abstract.html
Style Transfer from Non-Parallel Text by Cross-Alignment,"Tianxiao Shen, Tao Lei, Regina Barzilay, Tommi Jaakkola",https://proceedings.neurips.cc/paper/2017/hash/2d2c8394e31101a261abf1784302bf75-Abstract.html
Unsupervised Learning of Disentangled Representations from Video,"Emily L. Denton, vighnesh Birodkar",https://proceedings.neurips.cc/paper/2017/hash/2d2ca7eedf739ef4c3800713ec482e1a-Abstract.html
Countering Feedback Delays in Multi-Agent Learning,"Zhengyuan Zhou, Panayotis Mertikopoulos, Nicholas Bambos, Peter W. Glynn, Claire Tomlin",https://proceedings.neurips.cc/paper/2017/hash/2e0aca891f2a8aedf265edf533a6d9a8-Abstract.html
Affinity Clustering: Hierarchical Clustering at Scale,"Mohammadhossein Bateni, Soheil Behnezhad, Mahsa Derakhshan, MohammadTaghi Hajiaghayi, Raimondas Kiveris, Silvio Lattanzi, Vahab Mirrokni",https://proceedings.neurips.cc/paper/2017/hash/2e1b24a664f5e9c18f407b2f9c73e821-Abstract.html
Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks,"Federico Monti, Michael Bronstein, Xavier Bresson",https://proceedings.neurips.cc/paper/2017/hash/2eace51d8f796d04991c831a07059758-Abstract.html
Maximizing Subset Accuracy with Recurrent Neural Networks in Multi-label Classification,"Jinseok Nam, Eneldo Loza Mencía, Hyunwoo J. Kim, Johannes Fürnkranz",https://proceedings.neurips.cc/paper/2017/hash/2eb5657d37f474e4c4cf01e4882b8962-Abstract.html
f-GANs in an Information Geometric Nutshell,"Richard Nock, Zac Cranko, Aditya K. Menon, Lizhen Qu, Robert C. Williamson",https://proceedings.neurips.cc/paper/2017/hash/2f2b265625d76a6704b08093c652fd79-Abstract.html
Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,"Haw-Shiuan Chang, Erik Learned-Miller, Andrew McCallum",https://proceedings.neurips.cc/paper/2017/hash/2f37d10131f2a483a8dd005b3d14b0d9-Abstract.html
SchNet: A continuous-filter convolutional neural network for modeling quantum interactions,"Kristof Schütt, Pieter-Jan Kindermans, Huziel Enoc Sauceda Felix, Stefan Chmiela, Alexandre Tkatchenko, Klaus-Robert Müller",https://proceedings.neurips.cc/paper/2017/hash/303ed4c69846ab36c2904d3ba8573050-Abstract.html
GibbsNet: Iterative Adversarial Inference for Deep Graphical Models,"Alex M. Lamb, Devon Hjelm, Yaroslav Ganin, Joseph Paul Cohen, Aaron C. Courville, Yoshua Bengio",https://proceedings.neurips.cc/paper/2017/hash/30f8f6b940d1073d8b6a5eebc46dd6e5-Abstract.html
